Fri Aug 11 21:10:55 2023    ies_detector_profile.stats

         1961858 function calls (1936817 primitive calls) in 7.099 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    7.099    3.549 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/site-packages/IPython/core/interactiveshell.py:3472(run_code)
        2    0.000    0.000    7.099    3.549 {built-in method builtins.exec}
        1    0.001    0.001    7.099    7.099 /tmp/ipykernel_32786/1771983501.py:1(<module>)
        1    3.803    3.803    7.098    7.098 /mnt/leif/littlab/users/devinma/Code/spikes/IES_detector.py:6(ies_detector)
      190    1.260    0.007    1.260    0.007 {built-in method builtins.sum}
      380    0.001    0.000    0.626    0.002 /mnt/leif/littlab/users/devinma/Code/spikes/IES_helper_functions.py:6(eegfilt)
50367/25326    0.054    0.000    0.538    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
   706789    0.495    0.000    0.495    0.000 {built-in method builtins.abs}
      380    0.005    0.000    0.493    0.001 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/site-packages/scipy/signal/_signaltools.py:3960(filtfilt)
      760    0.001    0.000    0.437    0.001 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/site-packages/scipy/signal/_signaltools.py:1936(lfilter)
      760    0.433    0.001    0.433    0.001 {built-in method scipy.signal._sigtools._linear_filter}
   356678    0.330    0.000    0.330    0.000 {built-in method builtins.max}
     3634    0.003    0.000    0.266    0.000 <__array_function__ internals>:177(median)
     3634    0.003    0.000    0.260    0.000 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/site-packages/numpy/lib/function_base.py:3774(median)
     3634    0.008    0.000    0.256    0.000 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/site-packages/numpy/lib/function_base.py:3692(_ureduce)
     3634    0.022    0.000    0.247    0.000 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/site-packages/numpy/lib/function_base.py:3860(_median)
      380    0.046    0.000    0.155    0.000 /mnt/leif/littlab/users/devinma/Code/spikes/IES_helper_functions.py:15(FindPeaks)
      380    0.001    0.000    0.132    0.000 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/site-packages/scipy/signal/_filter_design.py:2980(butter)
      380    0.006    0.000    0.132    0.000 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/site-packages/scipy/signal/_filter_design.py:2361(iirfilter)
     3634    0.003    0.000    0.122    0.000 <__array_function__ internals>:177(partition)
     3634    0.004    0.000    0.116    0.000 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/site-packages/numpy/core/fromnumeric.py:675(partition)
     3634    0.104    0.000    0.104    0.000 {method 'partition' of 'numpy.ndarray' objects}
   351387    0.088    0.000    0.088    0.000 {built-in method builtins.any}
      380    0.003    0.000    0.070    0.000 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/site-packages/scipy/signal/_filter_design.py:1097(zpk2tf)
     3824    0.004    0.000    0.063    0.000 <__array_function__ internals>:177(mean)
      760    0.001    0.000    0.063    0.000 <__array_function__ internals>:177(poly)
      760    0.011    0.000    0.058    0.000 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/site-packages/numpy/lib/polynomial.py:44(poly)
     3824    0.006    0.000    0.056    0.000 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/site-packages/numpy/core/fromnumeric.py:3345(mean)
     3824    0.015    0.000    0.051    0.000 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/site-packages/numpy/core/_methods.py:164(_mean)
     9224    0.007    0.000    0.049    0.000 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/site-packages/numpy/core/fromnumeric.py:51(_wrapfunc)
     1521    0.001    0.000    0.046    0.000 <__array_function__ internals>:177(argwhere)
     1521    0.003    0.000    0.044    0.000 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/site-packages/numpy/core/numeric.py:578(argwhere)
      760    0.001    0.000    0.037    0.000 <__array_function__ internals>:177(insert)
      760    0.020    0.000    0.034    0.000 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/site-packages/numpy/lib/function_base.py:5250(insert)
     3634    0.014    0.000    0.033    0.000 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/site-packages/numpy/lib/utils.py:1086(_median_nancheck)
     6866    0.030    0.000    0.030    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     1141    0.001    0.000    0.028    0.000 <__array_function__ internals>:177(diff)
     1521    0.001    0.000    0.027    0.000 <__array_function__ internals>:177(nonzero)
      380    0.006    0.000    0.027    0.000 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/site-packages/scipy/signal/_signaltools.py:3569(lfilter_zi)
     4714    0.003    0.000    0.025    0.000 <__array_function__ internals>:177(around)
     1521    0.001    0.000    0.025    0.000 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/site-packages/numpy/core/fromnumeric.py:1892(nonzero)
     1141    0.024    0.000    0.025    0.000 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/site-packages/numpy/lib/function_base.py:1320(diff)
     4560    0.003    0.000    0.024    0.000 <__array_function__ internals>:177(convolve)
     1521    0.023    0.000    0.023    0.000 {method 'nonzero' of 'numpy.ndarray' objects}
      380    0.007    0.000    0.022    0.000 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/site-packages/scipy/signal/_filter_design.py:2613(bilinear_zpk)
     7268    0.008    0.000    0.019    0.000 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/site-packages/numpy/core/numerictypes.py:356(issubdtype)
     6115    0.004    0.000    0.018    0.000 <__array_function__ internals>:177(atleast_1d)
     4560    0.008    0.000    0.018    0.000 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/site-packages/numpy/core/numeric.py:755(convolve)
      380    0.001    0.000    0.017    0.000 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/site-packages/scipy/signal/_signaltools.py:4162(_validate_pad)
      380    0.005    0.000    0.016    0.000 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/site-packages/scipy/signal/_arraytools.py:55(odd_ext)
     2660    0.005    0.000    0.016    0.000 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/site-packages/numpy/core/fromnumeric.py:69(_wrapreduction)
     4714    0.003    0.000    0.016    0.000 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/site-packages/numpy/core/fromnumeric.py:3245(around)
     1178    0.001    0.000    0.013    0.000 <__array_function__ internals>:177(concatenate)
     1140    0.001    0.000    0.013    0.000 <__array_function__ internals>:177(any)
     1521    0.001    0.000    0.011    0.000 <__array_function__ internals>:177(transpose)
      760    0.001    0.000    0.011    0.000 <__array_function__ internals>:177(moveaxis)
    14536    0.007    0.000    0.010    0.000 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/site-packages/numpy/core/numerictypes.py:282(issubclass_)
     3824    0.008    0.000    0.010    0.000 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/site-packages/numpy/core/_methods.py:67(_count_reduce_items)
      760    0.004    0.000    0.010    0.000 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/site-packages/numpy/core/numeric.py:1411(moveaxis)
     6115    0.007    0.000    0.010    0.000 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/site-packages/numpy/core/shape_base.py:23(atleast_1d)
      380    0.000    0.000    0.010    0.000 <__array_function__ internals>:177(solve)
     1140    0.001    0.000    0.009    0.000 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/site-packages/numpy/core/fromnumeric.py:2333(any)
     1521    0.001    0.000    0.009    0.000 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/site-packages/numpy/core/fromnumeric.py:601(transpose)
      190    0.002    0.000    0.009    0.000 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/site-packages/scipy/signal/_filter_design.py:2755(lp2hp_zpk)
     4714    0.009    0.000    0.009    0.000 {method 'round' of 'numpy.generic' objects}
     3634    0.003    0.000    0.009    0.000 <__array_function__ internals>:177(count_nonzero)
      380    0.004    0.000    0.009    0.000 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/site-packages/numpy/linalg/linalg.py:306(solve)
     1140    0.001    0.000    0.008    0.000 <__array_function__ internals>:177(prod)
    16125    0.008    0.000    0.008    0.000 {built-in method numpy.array}
     4348    0.007    0.000    0.007    0.000 {built-in method builtins.round}
      380    0.006    0.000    0.007    0.000 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/site-packages/scipy/linalg/_special_matrices.py:553(companion)
     3690    0.007    0.000    0.007    0.000 {method 'flatten' of 'numpy.ndarray' objects}
     1521    0.003    0.000    0.007    0.000 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/site-packages/numpy/core/fromnumeric.py:38(_wrapit)
     4560    0.007    0.000    0.007    0.000 {built-in method numpy.core._multiarray_umath.correlate}
     1140    0.001    0.000    0.007    0.000 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/site-packages/numpy/core/fromnumeric.py:2955(prod)
      193    0.000    0.000    0.006    0.000 <__array_function__ internals>:177(vstack)
      570    0.000    0.000    0.006    0.000 <__array_function__ internals>:177(append)
      380    0.005    0.000    0.006    0.000 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/site-packages/scipy/signal/_filter_design.py:4315(buttap)
    32872    0.006    0.000    0.006    0.000 {built-in method builtins.issubclass}
     1176    0.001    0.000    0.005    0.000 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/site-packages/numpy/core/numeric.py:150(ones)
      193    0.001    0.000    0.005    0.000 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/site-packages/numpy/core/shape_base.py:223(vstack)
     1608    0.004    0.000    0.005    0.000 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/site-packages/numpy/core/numeric.py:1348(normalize_axis_tuple)
     1087    0.001    0.000    0.005    0.000 <__array_function__ internals>:177(argmax)
      570    0.001    0.000    0.005    0.000 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/site-packages/numpy/lib/function_base.py:5444(append)
     1140    0.002    0.000    0.005    0.000 {method 'any' of 'numpy.generic' objects}
     3634    0.005    0.000    0.005    0.000 {method 'take' of 'numpy.ndarray' objects}
     1522    0.001    0.000    0.005    0.000 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/site-packages/numpy/core/_methods.py:55(_any)
    25230    0.004    0.000    0.004    0.000 {built-in method numpy.asanyarray}
    43441    0.004    0.000    0.004    0.000 {built-in method builtins.len}
      760    0.002    0.000    0.004    0.000 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/site-packages/numpy/lib/type_check.py:26(mintypecode)
     2554    0.004    0.000    0.004    0.000 {built-in method numpy.arange}
     3420    0.004    0.000    0.004    0.000 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/site-packages/scipy/signal/_arraytools.py:7(axis_slice)
      760    0.001    0.000    0.004    0.000 <__array_function__ internals>:177(sort)
     1087    0.001    0.000    0.003    0.000 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/site-packages/numpy/core/fromnumeric.py:1153(argmax)
     4182    0.003    0.000    0.003    0.000 {built-in method numpy.asarray}
      380    0.000    0.000    0.003    0.000 <__array_function__ internals>:177(all)
     3634    0.002    0.000    0.003    0.000 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/site-packages/numpy/core/numeric.py:432(count_nonzero)
     1176    0.001    0.000    0.003    0.000 <__array_function__ internals>:177(copyto)
     3634    0.003    0.000    0.003    0.000 {method 'ravel' of 'numpy.generic' objects}
      193    0.000    0.000    0.003    0.000 <__array_function__ internals>:177(atleast_2d)
    13502    0.003    0.000    0.003    0.000 {built-in method builtins.isinstance}
      190    0.001    0.000    0.003    0.000 /mnt/leif/littlab/users/devinma/Libraries/miniconda3/lib/python3.11/site-packages/scipy/signal/_filter_design.py:2695(lp2lp_zpk)
    21952    0.003    0.000    0.003    0.000 {method 'append' of 'list' objects}
